Country,Approx. CVEQ
United States,6500000
Japan,940710
Italy,837788
Switzerland,473517
Germany,405341
Finland,391388
China,319062
France,298086
Spain,221873
South Korea,213091
Georgia,194778
Iceland,194315
Azerbaijan,192727
Luxembourg,191677
Ecuador,191224
Belgium,190961
Czech Republic,189133
Belarus,188997
Chile,188040
Oman,187619
Ukraine,184584
Denmark,183459
Slovenia,180342
Cambodia,179718
Uzbekistan,179364
Guatemala,178574
Qatar,174938
Armenia,169678
Iraq,169289
Peru,168865
Nepal,166162
Thailand,160211
Colombia,159601
Bolivia,157252
Algeria,153781
Iran,146112
Netherlands,140485
Serbia,138816
Zambia,134388
Panama,133123
Turkey,133093
Ireland,132034
India,131630
Mongolia,131021
Kuwait,127605
Lebanon,126501
Singapore,124860
Estonia,120815
Laos,118345
Malaysia,117753
Lithuania,116588
United Kingdom,112688
Cyprus,110222
Bosnia,108627
UAE,105182
Moldova,104524
Saudi Arabia,103240
Kenya,101626
Egypt,97775
Brazil,96342
El Salvador,96213
Greece,95168
Russia,91604
Nicaragua,91227
Indonesia,88181
Australia,86952
Philippines,84380
Latvia,84362
Bangladesh,83804
Vietnam,77796
Portugal,77476
Jordan,74856
Honduras,73019
Venezuela,72720
Slovakia,70449
Sweden,69710
Canada,67003
Paraguay,66093
Norway,64966
South Africa,64188
Bahrain,61787
Malta,61520
Morocco,60848
Uruguay,56853
Croatia,54296
Pakistan,53436
Kazakhstan,49761
North Macedonia,46708
Argentina,45025
New Zealand,41601
Tunisia,37182
Hungary,36139
Sri Lanka,33013
Israel,19580
Poland,15033
Myanmar,14735
Mexico,11033
Romania,6901
Nigeria,5980
Austria,4483
